site_id,gravity
ADRR,980167.914
B3N6,980156.095
B3ND,980146.285
B3NH,980136.689
B3RU,980131.843
AE5R,980130.403
AE5W,980125.632
AE56,980122.217
AE51,980112.416
AE5F,980121.27
AE5H,980119.119
AE5J,980115.002
AE5L,980114.124
AE64,980098.368
AE69,980096.215
AE7J,980094.67
AE6P,980069.201
AE6K,980050.556
B3R0,980036.337
AEXG,980035.18
AEX6,980023.831
AEX1,980005.098
AEWW,980001.655
B408,980002.094
B407,980009.336
B406,980001.528
AEWB,979993.982
AFXE,980000.567
AFXA,980016.862
AFX4,980020.74
B45B,980013.96
B45C,980026.475
AFM0,980050
AFL7,980038.897
AFLE,980059.024
AFKU,980067.437
AFKY,980070.138
AFLL,980047.181
AFL3,980076.892
AAX0,980082.186
B2X8,980091.662
AG74,980082.568
B4B1,980069.266
AG6P,980077.401
AG6H,980064.174
AG6G,980060.466
AG6C,980055.928
AG4T,980042.933
AG4L,980042.573
B4AN,980032.553
AG4F,980030.751
AG4C,980026.394
AHJE,980034.517
AHJ3,980045.783
B4MX,980055.47
B4MT,980070.733
AHHR,980081.932
AHHK,980085.43
AHHJ,980086.51
AHHC,980092.957
AGM5,980102.812
AE4V,980112.946
AE7K,980096.476
AB2F,980102.759
AB29,980095.204
AELV,980081.357
AEM2,980064.561
AELN,980046.454
AELG,980036.228
AEL2,980033.957
B3VR,980052.788
AELB,980074.12
AEL8,980085.282
B3W2,980097.611
AMRW,980121.405
AENF,980117.555
AENA,980112.977
AEN8,980108.485
AEN4,980095.753
AEMW,980105.896
B3W0,980093.261
B3X8,980093.968
B3WH,980079.247
B3WM,980074.9
B3WQ,980074.299
B3WW,980049.585
B3X1,980043.999
B3X6,980038.398
AER3,980022.307
AER7,980012.369
AERD,980001.436
AERJ,979958.52
AERR,979910.14
AERV,979915.766
B404,979884.499
AEUB,979907.136
B3YY,979903.169
B400,979871.416
AEUU,979920.494
AEVN,979917.114
2217,979966.658
ACR9,979972.376
AH1H,979973.511
AH1P,979971.528
AH27,979948.622
AH2A,979976.593
AHDY,979974.519
AHE2,979972.094
B4LG,979974.384
AHF4,979970.501
AHE5,979974.549
B4FD,979983.457
B4EM,979962.799
B4ER,979925.313
B4F6,979899.79
A53J,979877.887
AEY2,980009.731
AEXX,979993.017
AEXT,979981.129
AEXN,979985.793
AF9M,979976.919
AF9E,979970.87
AF94,979973.26
AF91,979978.569
AF8W,979975.431
AF8T,979977.295
AF8A,979977.19
AF8D,979939.259
B47C,979973.745
AFRX,979955.892
B473,979939.234
B472,979910.718
AFRA,979908.969
AFR2,979901.642
AHK9,979905.874
AHK5,979891.111
AHJV,979878.324
B4N2,979866.088
B4N0,979866.057
ACRT,979930.331
B3DM,979930.973
AH1T,979922.14
AH1W,979914.921
AH2M,979912.563
AH2Q,979910.603
AH2U,979894.995
AGTG,979891.119
AGTR,979892.35
AEVR,979924.715
AEXB,980027.408
AEX4,980017.818
B409,980002.781
AEWU,980001.778
AEWQ,980000.78
AEWM,980009.109
AEWF,980008.214
AFXF,979995.919
AFXD,980008.931
B48L,980023.773
AFLM,980015.028
AFLQ,980019.285
AFLY,980034.696
AFM3,980033.446
AFLA,980039.551
AFLC,980046.842
B45A,980065.136
AFKW,980071.728
AFL1,980073.63
AAX3,980081.682
AAWX,980090.792
AG77,980085.92
AG72,980077.988
AG6U,980076.118
AG6R,980071.448
ACPQ,979946.264
ACPW,979915.839
AHCQ,979894.144
AHBX,979900.006
AHC3,979930.048
AHBK,979941.489
AH65,979962.129
AH6A,979967.591
B4K9,979969.911
B4KA,979968.411
AH4G,979988.45
AH4P,979998.781
AGTE,979992.677
B4GQ,979996.172
B4GB,980013.23
B4GN,980006.264
AGRJ,980006.024
AGRM,979996.873
AGQK,980020.144
AGQN,980020.708
AGQQ,980022.445
AGQA,980035.362
AGQW,980038.854
B4FH,980042.146
AGR5,980043.514
AGRB,980049.425
AGRF,980053.708
AH32,980054.571
AH34,980060.929
AH3B,980061.13
AH3G,980044.989
AH3M,980043.773
AG50,980045.164
AG56,980033.448
AHA3,980055.524
AHA8,980039.547
B4KV,980066.307
AFVM,980029.679
AFVH,980031.455
AFVB,980016.789
AFV2,980038.064
AFUX,980036.992
AGH7,980043.096
AGH3,980042.649
AGGX,980049.416
AGGR,980059.847
AGGL,980068.089
B4C6,980046.313
B4D7,980050.887
B4CY,980012.981
B4CT,979997.412
AGJ2,979992.529
B4DC,979973.633
AGJK,979971.599
AGJG,979960.131
AGJB,979940.124
B4N6,979940.692
AHKM,979928.686
B4N4,979924.006
B3VU,980051.499
ABPN,980267.321
ABPA,980269.477
ABYH,980271.956
B37K,980266.203
B37R,980256.95
AC5T,980251.723
AC61,980240.729
AC8C,980208.854
AC6B,980195.407
AC6G,980225.356
AC6L,980262.29
AC71,980267.121
AC74,980264.492
AC78,980262.799
ABHM,980257.977
ABHP,980249.787
ABHU,980238.547
ACWL,980241.423
B4M1,980088.172
B4ME,980079.885
B4MJ,980081.433
AG5V,980081.744
B4AW,980082.926
AG67,980096.029
AHGF,980096.71
AHG7,980086.616
AHGE,980100.677
B4LK,980087.536
AHBC,980080.564
B4L1,980084.801
AHB4,980089.167
AHAX,980083.695
AHAQ,980074.842
AHAL,980070.96
B4CK,979967.041
AGHT,979965.446
B4CN,979943.775
AGHD,979928.958
AGHL,979929.323
AHLN,979940.043
AHLQ,979932.016
AHL9,979955.407
B4N7,979996.289
AHL4,980007.87
AHH5,980023.362
AHH9,980039.616
AHGL,980063.063
AHGR,980064.42
AHGU,980055.457
AHGH,980053.439
AG5T,980046.207
AG5P,980039.982
B37T,980242.355
B380,980248.909
AC0N,980245.666
A2GC,980242.562
AC0A,980229.2
AC0G,980223.227
AC0L,980217.971
ABHX,980213.542
B3A6,980202.631
ACH8,980194.736
ACGQ,980187.759
ACGT,980178.199
ACGY,980173.585
ACH6,980161.378
B3JL,980158.718
A4N9,980144.498
A4NA,980126.471
ADG3,980132.906
ADG6,980125.778
ADGD,980108.677
B3Q6,980087.739
B3QA,980080.84
B3QF,980068.077
